Lat,long,Predicted_LST,Heat_Classification,Major_Heat_Cause,NDBI,NDVI,AOD,Effective_Cooling_Wind,Temperature,Humidity
21.955723859165225,88.34301998616611,30.465359,Hot_Zone (UHI),High_Concrete (NDBI),-0.048561715,0.37787312,0.6631,12.7894498721599,34.972368705460646,61.6897734201148
21.955723859165225,88.34840987787082,30.437645,Hot_Zone (UHI),High_Concrete (NDBI),-0.12075558,0.48935157,0.6631,12.787800561209686,34.9726450860428,61.68914169619672
21.955723859165225,88.38074922809912,30.501574,Hot_Zone (UHI),High_Concrete (NDBI),-0.07114758,0.34313717,0.6694500000000001,12.778040438873129,34.97428551151721,61.68528519579939
21.96111375086994,88.29990085252837,30.466116,Hot_Zone (UHI),High_Concrete (NDBI),-0.035175286,0.439574,0.645,12.802635513269635,34.9701533130974,61.69496471815758
21.96111375086994,88.32685031105196,30.45711,Hot_Zone (UHI),High_Concrete (NDBI),-0.028735025,0.39126503,0.6492857142857144,12.794175066147806,34.97156391662108,61.6918967724486
21.96111375086994,88.35918966128025,30.440733,Hot_Zone (UHI),High_Concrete (NDBI),-0.11482576,0.47054663,0.6617142857142857,12.784087876140362,34.9732535363235,61.68805065966746
21.96111375086994,88.36457955298498,30.443285,Hot_Zone (UHI),High_Concrete (NDBI),-0.08817622,0.45952773,0.6617142857142857,12.782425815968338,34.973532769463546,61.68739674608034
21.96650364257466,88.22983226036705,30.425959,Hot_Zone (UHI),High_Concrete (NDBI),-0.096220724,0.4574381,0.6972,12.824377750840444,34.96654155712321,61.70252728310782
21.96650364257466,88.23522215207177,30.454033,Hot_Zone (UHI),High_Concrete (NDBI),-0.06407517,0.40217605,0.6433,12.822754998594943,34.96680864583759,61.70202273074349
21.96650364257466,88.24061204377648,30.473488,Hot_Zone (UHI),High_Concrete (NDBI),-0.021726139,0.3838018,0.6433,12.821120191575377,34.96707795832904,61.70150863793841
21.96650364257466,88.25678171889064,30.518179,Hot_Zone (UHI),High_Concrete (NDBI),0.027949516,0.31338868,0.6772857142857144,12.816150207141972,34.96789814104694,61.6999108318451
21.96650364257466,88.26217161059535,30.560207,Hot_Zone (UHI),High_Concrete (NDBI),0.011440702,0.2941025,0.678,12.814474055246732,34.96817523226405,61.69936035104751
21.96650364257466,88.29990085252837,30.473423,Hot_Zone (UHI),High_Concrete (NDBI),0.004726378,0.3556694,0.648,12.802546975549914,34.97015371746774,61.69527958417979
21.96650364257466,88.30529074423309,30.44577,Hot_Zone (UHI),High_Concrete (NDBI),-0.05050178,0.40885738,0.6505,12.800825218580526,34.97044028991712,61.69466719220759
21.971893534279378,88.21366258525289,30.426119,Hot_Zone (UHI),High_Concrete (NDBI),-0.094098166,0.45881143,0.711,12.82955353727377,34.9656768425131,61.70444666926299
21.971893534279378,88.22444236866232,30.479149,Hot_Zone (UHI),High_Concrete (NDBI),-0.04941779,0.44119504,0.6972,12.826321259288328,34.966207552721734,61.70347285850098
21.971893534279378,88.22983226036705,30.544407,Hot_Zone (UHI),High_Concrete (NDBI),-0.021573003,0.41299468,0.6972,12.82468403168357,34.966476740051995,61.70297066590374
21.971893534279378,88.23522215207177,30.46591,Hot_Zone (UHI),High_Concrete (NDBI),-0.029136958,0.4063064,0.6433,12.823033584927288,34.96674834696447,61.70245847029188
21.971893534279378,88.25678171889064,30.476334,Hot_Zone (UHI),High_Concrete (NDBI),-0.061658334,0.4068298,0.6772857142857144,12.816313187878766,34.9678567720762,61.70031298593658
21.971893534279378,88.26217161059535,30.473806,Hot_Zone (UHI),High_Concrete (NDBI),-0.027979497,0.3538905,0.678,12.814607036424102,34.96813879254266,61.69975337999723
21.971893534279378,88.26756150230007,30.441708,Hot_Zone (UHI),High_Concrete (NDBI),-0.14046964,0.50890076,0.678,12.812891981919616,34.968422531056795,61.699184899088834
21.971893534279378,88.30529074423309,30.426641,Hot_Zone (UHI),High_Concrete (NDBI),-0.08919085,0.42118704,0.6505,12.80070639871909,34.97044546502181,61.69497780000288
21.971893534279378,88.35918966128025,30.42757,Hot_Zone (UHI),High_Concrete (NDBI),-0.09012485,0.4264187,0.6467,12.783204601241202,34.97337199115837,61.68842667578823
21.97728342598409,88.18132323502459,30.582638,Hot_Zone (UHI),High_Concrete (NDBI),-0.019620275,0.32285362,0.68375,12.83941983412084,34.96404838890561,61.707624543004464
21.97728342598409,88.18671312672932,30.471563,Hot_Zone (UHI),High_Concrete (NDBI),-0.035823565,0.3658712,0.68375,12.837886186224509,34.964298578376365,61.7072016730812
21.97728342598409,88.21366258525289,30.479795,Hot_Zone (UHI),High_Concrete (NDBI),-0.068330035,0.4416756,0.711,12.829954078213476,34.9655964194048,61.70492157760132
21.97728342598409,88.22444236866232,30.537962,Hot_Zone (UHI),High_Concrete (NDBI),-0.023278426,0.41485634,0.6952857142857144,12.826667882821386,34.966135888703576,61.70393378598499
21.97728342598409,88.22983226036705,30.458889,Hot_Zone (UHI),High_Concrete (NDBI),-0.090509936,0.47788343,0.6952857142857144,12.825002841464489,34.96640960548653,61.70342411537231
21.97728342598409,88.23522215207177,30.43025,Hot_Zone (UHI),High_Concrete (NDBI),-0.08577868,0.454984,0.6688333333333333,12.823324034351046,34.96668583808826,61.702904120246586
21.97728342598409,88.24061204377648,30.498024,Hot_Zone (UHI),High_Concrete (NDBI),0.015356225,0.3686358,0.6688333333333333,12.821632141817796,34.966964476644456,61.70237396109376
21.97728342598409,88.25678171889064,30.456068,Hot_Zone (UHI),High_Concrete (NDBI),-0.058851413,0.44443786,0.662,12.816485134574808,34.967813663681035,61.700724300934105
21.97728342598409,88.26217161059535,30.445057,Hot_Zone (UHI),High_Concrete (NDBI),-0.061724942,0.39262426,0.6505,12.81474820468756,34.96810074058557,61.700155351994354
21.97728342598409,88.30529074423309,30.449795,Hot_Zone (UHI),High_Concrete (NDBI),-0.071374156,0.40659946,0.6442000000000001,12.80058890882836,34.97045015697563,61.69529520738488
21.98267331768881,88.19210301843403,30.4253,Hot_Zone (UHI),High_Concrete (NDBI),-0.079433575,0.37619752,0.6637500000000001,12.836852520392616,34.964452263071195,61.70727773433991
21.98267331768881,88.19749291013875,30.470478,Hot_Zone (UHI),High_Concrete (NDBI),-0.075624354,0.39865223,0.7266666666666667,12.835258164164202,34.9647128137476,61.706827065830986
21.98267331768881,88.20288280184346,30.512484,Hot_Zone (UHI),High_Concrete (NDBI),0.00084307004,0.34706312,0.7266666666666667,12.83364586263134,34.96497655698437,61.70636504322938
21.98267331768881,88.20827269354818,30.473373,Hot_Zone (UHI),High_Concrete (NDBI),-0.035763968,0.3733472,0.72975,12.832016144518745,34.96524340917606,61.70589174834321
21.98267331768881,88.21366258525289,30.473568,Hot_Zone (UHI),High_Concrete (NDBI),-0.062713094,0.40667194,0.72975,12.83036956784301,34.96551328171656,61.7054072764253
21.98267331768881,88.22444236866232,30.53348,Hot_Zone (UHI),High_Concrete (NDBI),0.02155956,0.34977707,0.7044642857142858,12.82702821618621,34.96606170855564,61.70440525055582
21.98267331768881,88.23522215207177,30.538124,Hot_Zone (UHI),High_Concrete (NDBI),-0.022224305,0.4206975,0.6940000000000001,12.82362684887427,34.966621029777926,61.70336000116112
21.98267331768881,88.24061204377648,30.455667,Hot_Zone (UHI),High_Concrete (NDBI),-0.09410918,0.4749031,0.6940000000000001,12.821905357886193,34.966904502184704,61.702821551620325
21.98267331768881,88.25678171889064,30.432848,Hot_Zone (UHI),High_Concrete (NDBI),-0.13156311,0.47344708,0.696857142857143,12.816666458241144,34.96776874105603,61.70114507759504
21.98267331768881,88.26217161059535,30.43589,Hot_Zone (UHI),High_Concrete (NDBI),-0.08715147,0.46029982,0.6477142857142857,12.814897945193994,34.96806100577909,61.70056656129408
21.98267331768881,88.26756150230007,30.437033,Hot_Zone (UHI),High_Concrete (NDBI),-0.09320233,0.47692698,0.6477142857142857,12.813119684563612,34.968355141328324,61.699978574498935
21.98267331768881,88.2783412857095,30.449081,Hot_Zone (UHI),High_Concrete (NDBI),-0.0768576,0.4726262,0.6763750000000001,12.809537342239494,34.96894846468668,61.69877518186048
21.98267331768881,88.28912106911893,30.481737,Hot_Zone (UHI),High_Concrete (NDBI),-0.043393414,0.34817687,0.6454285714285715,12.805926482991438,34.969547553866214,61.697537010597934
21.98267331768881,88.29451096082366,30.460424,Hot_Zone (UHI),High_Concrete (NDBI),-0.028085604,0.3922157,0.6454285714285715,12.804112647697629,34.969848883962435,61.69690559601639
21.98267331768881,88.32685031105196,30.488663,Hot_Zone (UHI),High_Concrete (NDBI),0.0045603495,0.33292776,0.6636666666666666,12.793172329520589,34.97167187832301,61.692964398951865
21.98267331768881,88.33224020275667,30.47341,Hot_Zone (UHI),High_Concrete (NDBI),-0.02482817,0.37078828,0.6574285714285715,12.791348613699288,34.97197668231629,61.69228526045895
21.98267331768881,88.33763009446139,30.484993,Hot_Zone (UHI),High_Concrete (NDBI),-0.0015654592,0.35520664,0.6574285714285715,12.789527487600829,34.97228131695995,61.69160071893143
21.98267331768881,88.34301998616611,30.50408,Hot_Zone (UHI),High_Concrete (NDBI),-0.023042383,0.38287175,0.6655714285714286,12.787709968106496,34.972585612371915,61.69091115128828
21.98267331768881,88.34840987787082,30.429281,Hot_Zone (UHI),High_Concrete (NDBI),-0.0836244,0.42100617,0.6655714285714286,12.785897073070029,34.97288939827008,61.6902169405498
21.98806320939353,88.19210301843403,30.473104,Hot_Zone (UHI),High_Concrete (NDBI),-0.0683842,0.38026983,0.6637500000000001,12.837388481942815,34.96434936321826,61.70779928843495
21.98806320939353,88.19749291013875,30.473795,Hot_Zone (UHI),High_Concrete (NDBI),-0.063086644,0.38888538,0.7266666666666667,12.835768919075576,34.96461397200905,61.70734297317088
21.98806320939353,88.22444236866232,30.485235,Hot_Zone (UHI),High_Concrete (NDBI),-0.048461042,0.4420759,0.7044642857142858,12.827402824440911,34.965984912474966,61.70488759223833
