Lat,long,Predicted_LST,Heat_Classification,Major_Heat_Cause,NDBI,NDVI,AOD,Effective_Cooling_Wind,Temperature,Humidity
21.98267331768881,88.18671312672932,30.4556,Hot_Zone (UHI),Pollution (AOD),-0.061863597,0.38851225,0.81275,12.838428431981802,34.96419498355232,61.70771698021906
21.98806320939353,88.18671312672932,30.455736,Hot_Zone (UHI),Pollution (AOD),-0.06563783,0.29041076,0.81275,12.83898889930474,34.96408814658978,61.70824382662964
22.05274190985013,88.12742431797741,30.458685,Hot_Zone (UHI),Pollution (AOD),-0.0813657,0.2544853,0.987,12.866567105158456,34.95941297051148,61.72010716039131
22.05813180155485,88.13820410138686,30.451935,Hot_Zone (UHI),Pollution (AOD),-0.05935616,0.26376873,0.78225,12.864484176245051,34.95972592222878,61.72018156657287
22.07969136837372,88.16515355991044,30.626572,Hot_Zone (UHI),Pollution (AOD),-0.029106086,0.25805753,0.8936666666666666,12.860109568796757,34.96034231775518,61.72132556866194
22.07969136837372,88.17054345161516,30.483156,Hot_Zone (UHI),Pollution (AOD),-0.069559015,0.25125796,0.999125,12.858165898225764,34.960656194226495,61.72086701269862
22.11742061030674,88.18132323502459,30.429049,Hot_Zone (UHI),Pollution (AOD),-0.07701462,0.40891302,0.7735,12.862542313118787,34.95977677487184,61.72607279249478
22.182099310763345,88.2783412857095,30.448427,Hot_Zone (UHI),Pollution (AOD),-0.16196938,0.54306626,0.6942999999999999,12.821069660981186,34.96619563690607,61.72301668450566
22.18748920246806,88.2783412857095,30.447998,Hot_Zone (UHI),Pollution (AOD),-0.16439585,0.5573967,0.6942999999999999,12.821911000255524,34.966021626971106,61.72413701392809
22.198268985877498,88.2783412857095,30.441439,Hot_Zone (UHI),Pollution (AOD),-0.17713143,0.5470809,0.6848333333333334,12.823758723962714,34.9656433405852,61.72650394799416
22.20365887758221,88.2783412857095,30.441809,Hot_Zone (UHI),Pollution (AOD),-0.17076392,0.5428069,0.6848333333333334,12.824772517433956,34.9654377533955,61.72775506235096
